Num,Date,Production 
206,16/7/2022,"  34,654 "
207,17/7/2022,"  38,893 "
208,18/7/2022,"  42,590 "
209,19/7/2022,"  40,366 "
210,20/7/2022,"  40,746 "
211,21/7/2022,"  42,066 "
212,22/7/2022,"  39,270 "
213,23/7/2022,"  37,965 "
214,24/7/2022,"  38,417 "
215,25/7/2022,"  40,719 "
216,26/7/2022,"  40,022 "
217,27/7/2022,"  37,350 "
218,28/7/2022,"  37,766 "
219,29/7/2022,"  39,591 "
220,30/7/2022,"  39,379 "
221,31/7/2022,"  38,922 "
222,1/8/2022,"  36,605 "
223,2/8/2022,"  38,743 "
224,3/8/2022,"  4,449 "
225,4/8/2022,"  24,602 "
226,5/8/2022,"  40,630 "
227,6/8/2022,"  45,632 "
228,7/8/2022,"  45,285 "
229,8/8/2022,"  47,776 "
230,9/8/2022,"  46,358 "
231,10/8/2022,"  46,048 "
232,11/8/2022,"  44,905 "
233,12/8/2022,"  50,068 "
234,13/8/2022,"  48,047 "
235,14/8/2022,"  51,794 "
236,15/8/2022,"  44,671 "
237,16/8/2022,"  45,766 "
238,17/8/2022,"  46,167 "
239,18/8/2022,"  41,102 "
240,19/8/2022,"  46,988 "
241,20/8/2022,"  45,384 "
242,21/8/2022,"  44,653 "
243,22/8/2022,"  47,055 "
244,23/8/2022,"  43,342 "
245,24/8/2022,"  42,733 "
246,25/8/2022,"  48,602 "
247,26/8/2022,"  46,809 "
248,27/8/2022,"  45,086 "
249,28/8/2022,"  44,844 "
250,29/8/2022,"  47,567 "
251,30/8/2022,"  47,308 "
252,31/8/2022,"  49,767 "
253,1/9/2022,"  52,827 "
254,2/9/2022,"  34,573 "
255,3/9/2022,"  47,012 "
256,4/9/2022,"  47,041 "
257,5/9/2022,"  52,644 "
258,6/9/2022,"  46,039 "
259,7/9/2022,"  51,813 "
260,8/9/2022,"  54,149 "
261,9/9/2022,"  62,741 "
262,10/9/2022,"  58,969 "
263,11/9/2022,"  52,232 "
264,12/9/2022,"  47,894 "
265,13/9/2022,"  50,637 "
266,14/9/2022,"  48,872 "
267,15/9/2022,"  50,380 "
268,16/9/2022,"  43,043 "
269,17/9/2022,"  48,228 "
270,18/9/2022,"  52,468 "
271,19/9/2022,"  50,285 "
272,20/9/2022,"  48,805 "
273,21/9/2022,"  76,341 "
274,22/9/2022,"  77,960 "
275,23/9/2022,"  75,822 "
276,24/9/2022,"  64,821 "
277,25/9/2022,"  48,984 "
278,26/9/2022,"  67,933 "
279,27/9/2022,"  57,862 "
280,28/9/2022,"  70,257 "
281,29/9/2022,"  44,157 "
282,30/9/2022,"  58,289 "
283,1/10/2022,"45,586"
284,2/10/2022,"52,238"
285,3/10/2022,"39,545"
286,4/10/2022,"44,814"
287,5/10/2022,"45,160"
288,6/10/2022,"60,354"
289,7/10/2022,"46,957"
290,8/10/2022,"44,661"
291,9/10/2022,"44,803"
292,10/10/2022,"35,667"
293,11/10/2022,"43,228"
294,12/10/2022,"44,053"
295,13/10/2022,"50,113"
296,14/10/2022,"47,081"
297,15/10/2022,"50,900"
298,16/10/2022,"45,048"
299,17/10/2022,"44,174"
300,18/10/2022,"44,442"
301,19/10/2022,"44,427"
302,20/10/2022,"45,621"
303,21/10/2022,"38,589"
304,22/10/2022,"45,843"
305,23/10/2022,"42,290"
306,24/10/2022,41207
307,25/10/2022,51076
308,26/10/2022,"44,211"
309,27/10/2022,"47,468"
310,28/10/2022,"51,434"
311,29/10/2022,"51,028"
312,30/10/2022,"52,104"
313,31/10/2022,"46,583"
314,1/11/2022,"59,617"
315,2/11/2022,"59,279"
316,3/11/2022,"58,585"
317,4/11/2022,"58,362"
318,5/11/2022,"54,108"
319,6/11/2022,"54,945"
320,7/11/2022,"61,806"
321,8/11/2022,"69,203"
322,9/11/2022,"63,790"
323,10/11/2022,"50,389"
324,11/11/2022,"49,765"
325,12/11/2022,"53,527"
326,13/11/2022,"51,433"
327,14/11/2022,"52,439"
328,15/11/2022,"53,446"
329,16/11/2022,"58,126"
330,17/11/2022,"56,035"
331,18/11/2022,"49,072"
332,19/11/2022,"45,851"
333,20/11/2022,"53,446"
334,21/11/2022,"52,358"
335,22/11/2022,"43,140"
336,23/11/2022,"65,304"
